,date,ewretx,vwretx,nxt_freq_ewret,nxt_freq_vwretx
0,2015-06-30,-0.015572272202947546,-0.002311431171168832,-0.08004578643586246,-0.06935164420467954
1,2015-09-30,-0.08004578643586246,-0.06935164420467954,0.04489134280006368,0.06453540320655904
2,2015-12-31,0.04489134280006368,0.06453540320655904,0.02481903610130609,0.007730192315364315
3,2016-03-31,0.02481903610130609,0.007730192315364315,0.021479160244219253,0.018992745381929854
4,2016-06-30,0.021479160244219253,0.018992745381929854,0.04021940523459744,0.03307028985111082
5,2016-09-30,0.04021940523459744,0.03307028985111082,0.033132023645665365,0.03254209944248743
6,2016-12-31,0.033132023645665365,0.03254209944248743,0.04922909978371681,0.05533688947125537
7,2017-03-31,0.04922909978371681,0.05533688947125537,0.02019448740267893,0.025686472438030572
8,2017-06-30,0.02019448740267893,0.025686472438030572,0.031171838961865594,0.039593052266169604
9,2017-09-30,0.031171838961865594,0.039593052266169604,0.05713176252431196,0.06122586427624599
10,2017-12-31,0.05713176252431196,0.06122586427624599,-0.014639989805325104,-0.012245611334087081
11,2018-03-31,-0.014639989805325104,-0.012245611334087081,0.023071207045693765,0.02934638833451486
12,2018-06-30,0.023071207045693765,0.02934638833451486,0.04913539115477983,0.071958510007325
13,2018-09-30,0.04913539115477983,0.071958510007325,-0.15035935470150796,-0.1469605121190597
14,2018-12-31,-0.15035935470150796,-0.1469605121190597,0.15225156548576435,0.14026403142691546
15,2019-03-31,0.15225156548576435,0.14026403142691546,0.02268974953279468,0.031936220240622815
16,2019-06-30,0.02268974953279468,0.031936220240622815,0.011358651479730142,0.017716747720790904
17,2019-09-30,0.011358651479730142,0.017716747720790904,0.07039817901454648,0.08534169591429386
18,2019-12-31,0.07039817901454648,0.08534169591429386,-0.27118833367734585,-0.20001050382463903
19,2020-03-31,-0.27118833367734585,-0.20001050382463903,0.21055790144484754,0.19952871969448593
20,2020-06-30,0.21055790144484754,0.19952871969448593,0.06220484796145409,0.0847372205914454
21,2020-09-30,0.06220484796145409,0.0847372205914454,0.17875708468703544,0.11688078155199966
22,2020-12-31,0.17875708468703544,0.11688078155199966,0.10999915385338754,0.0577251809132131
23,2021-03-31,0.10999915385338754,0.0577251809132131,0.06481848936764245,0.08170629345361147
24,2021-06-30,0.06481848936764245,0.08170629345361147,-0.006320096908471462,0.0023362510907505296
25,2021-09-30,-0.006320096908471462,0.0023362510907505296,0.08538678233580965,0.10647379538196211
26,2021-12-31,0.08538678233580965,0.10647379538196211,-0.031506808205474246,-0.049467290542075215
27,2022-03-31,-0.031506808205474246,-0.049467290542075215,-0.14758499323644247,-0.16445095427169687
28,2022-06-30,-0.14758499323644247,-0.16445095427169687,-0.05247971833036391,-0.05277139198948255
29,2022-09-30,-0.05247971833036391,-0.05277139198948255,0.11073411188759907,0.07080501406034023
30,2022-12-31,0.11073411188759907,0.07080501406034023,0.02414314720665356,0.07027218611635622
31,2023-03-31,0.02414314720665356,0.07027218611635622,0.034681250726324775,0.08299929169508036
32,2023-06-30,0.034681250726324775,0.08299929169508036,-0.05379679305810747,-0.03647555543559855
33,2023-09-30,-0.05379679305810747,-0.03647555543559855,0.034699899514405885,0.06326653173802654
