date,negative,neutral,positive
2017-01,0.0,0.9090909090909091,0.09090909090909091
2017-02,0.2222222222222222,0.7777777777777778,0.0
2017-03,0.0,0.8571428571428571,0.14285714285714285
2017-04,0.0,1.0,0.0
2017-05,0.16666666666666666,0.6666666666666666,0.16666666666666666
2017-06,0.058823529411764705,0.9411764705882353,0.0
2017-07,0.0,1.0,0.0
2017-08,0.0,1.0,0.0
2017-09,0.06666666666666667,0.8666666666666667,0.06666666666666667
2017-10,0.057692307692307696,0.7884615384615384,0.15384615384615385
2017-11,0.0,0.8888888888888888,0.1111111111111111
2017-12,0.0,0.8333333333333334,0.16666666666666666
2018-01,0.0,0.9230769230769231,0.07692307692307693
2018-02,0.0,0.8823529411764706,0.11764705882352941
2018-03,0.13043478260869565,0.7391304347826086,0.13043478260869565
2018-04,0.11764705882352941,0.8235294117647058,0.058823529411764705
2018-05,0.09090909090909091,0.9090909090909091,0.0
2018-06,0.07692307692307693,0.9230769230769231,0.0
2018-07,0.14285714285714285,0.6666666666666666,0.19047619047619047
2018-08,0.0,0.7142857142857143,0.2857142857142857
2018-09,0.043478260869565216,0.8695652173913043,0.08695652173913043
2018-10,0.0847457627118644,0.8305084745762712,0.0847457627118644
2018-11,0.046511627906976744,0.813953488372093,0.13953488372093023
2018-12,0.18518518518518517,0.7407407407407407,0.07407407407407407
2019-01,0.0,0.9333333333333333,0.06666666666666667
2019-02,0.0,0.9166666666666666,0.08333333333333333
2019-03,0.0625,0.8125,0.125
2019-04,0.07142857142857142,0.9285714285714286,0.0
2019-05,0.14285714285714285,0.8571428571428571,0.0
2019-06,0.045454545454545456,0.9545454545454546,0.0
2019-07,0.109375,0.7421875,0.1484375
2019-08,0.11842105263157894,0.6973684210526315,0.18421052631578946
2019-09,0.08695652173913043,0.8260869565217391,0.08695652173913043
2019-10,0.037037037037037035,0.9259259259259259,0.037037037037037035
2019-11,0.0,1.0,0.0
2019-12,0.030303030303030304,0.9393939393939394,0.030303030303030304
2020-01,0.0,0.9473684210526315,0.05263157894736842
2020-02,0.22727272727272727,0.7272727272727273,0.045454545454545456
2020-03,0.11904761904761904,0.7380952380952381,0.14285714285714285
2020-04,0.09090909090909091,0.8484848484848485,0.06060606060606061
2020-05,0.06896551724137931,0.9310344827586207,0.0
2020-06,0.05714285714285714,0.8285714285714286,0.11428571428571428
2020-07,0.0,0.7619047619047619,0.23809523809523808
2020-08,0.11764705882352941,0.6764705882352942,0.20588235294117646
2020-09,0.11428571428571428,0.8285714285714286,0.05714285714285714
2020-10,0.03333333333333333,0.9,0.06666666666666667
2020-11,0.0392156862745098,0.8431372549019608,0.11764705882352941
2020-12,0.08823529411764706,0.7941176470588235,0.11764705882352941
2021-01,0.043478260869565216,0.9347826086956522,0.021739130434782608
2021-02,0.06521739130434782,0.8260869565217391,0.10869565217391304
2021-03,0.0425531914893617,0.8723404255319149,0.0851063829787234
2021-04,0.04,0.88,0.08
2021-05,0.05,0.85,0.1
2021-06,0.05128205128205128,0.7435897435897436,0.20512820512820512
2021-07,0.041666666666666664,0.8958333333333334,0.0625
2021-08,0.0425531914893617,0.851063829787234,0.10638297872340426
2021-09,0.0,0.9,0.1
2021-10,0.023255813953488372,0.8837209302325582,0.09302325581395349
2021-11,0.13043478260869565,0.782608695652174,0.08695652173913043
2021-12,0.10256410256410256,0.8205128205128205,0.07692307692307693
2022-01,0.04878048780487805,0.9024390243902439,0.04878048780487805
2022-02,0.034482758620689655,0.8275862068965517,0.13793103448275862
2022-03,0.08108108108108109,0.8108108108108109,0.10810810810810811
2022-04,0.058823529411764705,0.7647058823529411,0.17647058823529413
2022-05,0.0425531914893617,0.8936170212765957,0.06382978723404255
2022-06,0.13157894736842105,0.8157894736842105,0.05263157894736842
2022-07,0.0,0.9285714285714286,0.07142857142857142
2022-08,0.05405405405405406,0.8648648648648649,0.08108108108108109
2022-09,0.05263157894736842,0.8157894736842105,0.13157894736842105
2022-10,0.1702127659574468,0.7872340425531915,0.0425531914893617
2022-11,0.07317073170731707,0.7560975609756098,0.17073170731707318
2022-12,0.06976744186046512,0.7906976744186046,0.13953488372093023
2023-01,0.015873015873015872,0.873015873015873,0.1111111111111111
2023-02,0.0625,0.8125,0.125
2023-03,0.1282051282051282,0.6410256410256411,0.23076923076923078
2023-04,0.0,0.8157894736842105,0.18421052631578946
2023-05,0.08695652173913043,0.7608695652173914,0.15217391304347827
2023-06,0.018518518518518517,0.8148148148148148,0.16666666666666666
2023-07,0.08695652173913043,0.6086956521739131,0.30434782608695654
2023-08,0.1,0.8333333333333334,0.06666666666666667
2023-09,0.058823529411764705,0.8235294117647058,0.11764705882352941
2023-10,0.1724137931034483,0.7126436781609196,0.11494252873563218
2023-11,0.06382978723404255,0.7659574468085106,0.1702127659574468
